City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Description
138,Tingi,-11.3,35.0333,65.3,53,2,clear sky
139,Port Alfred,-33.5906,26.891,60.21,81,75,broken clouds
140,Sechura,-5.5569,-80.8222,62.83,79,64,broken clouds
141,Sokoni,-6.4333,39.55,75.94,77,32,light rain
142,Karasuk,53.7377,78.0403,81.52,37,90,overcast clouds
143,Lebu,-37.6167,-73.65,44.56,88,2,clear sky
144,Tenenkou,14.4572,-4.9169,79.34,75,40,light rain
145,Port-Gentil,-0.7193,8.7815,75.16,83,100,overcast clouds
146,Katangli,51.7102,143.2326,61.54,80,43,scattered clouds
147,Ostrovnoy,68.0531,39.5131,60.08,87,100,light rain
148,Vostok,46.4856,135.8833,74.3,46,44,scattered clouds
149,Severo-Kurilsk,50.6789,156.125,59.76,83,27,scattered clouds
150,Bud,39.447,-86.1758,67.82,95,0,clear sky
151,Saskylakh,71.9167,114.0833,50.61,64,100,overcast clouds
152,Alenquer,-1.9417,-54.7383,73.53,63,60,broken clouds
153,Uruzgan,32.8333,66.0,89.08,13,1,clear sky
154,Lasa,46.6166,10.7002,63.7,88,43,scattered clouds
155,Hualmay,-11.0964,-77.6139,60.3,86,53,broken clouds
156,Bredasdorp,-34.5322,20.0403,50.83,94,100,overcast clouds
157,Suratgarh,29.3167,73.9,96.67,42,18,few clouds
158,Husavik,66.0449,-17.3389,47.28,81,100,overcast clouds
159,Aasiaat,68.7098,-52.8699,36.95,92,100,overcast clouds
160,Vardo,70.3705,31.1107,57.18,94,100,overcast clouds
161,Pasuruan,-7.6453,112.9075,87.69,58,37,scattered clouds
162,Guarapari,-20.6667,-40.4975,74.89,67,100,overcast clouds
163,Preobrazheniye,42.9019,133.9064,72.88,87,82,broken clouds
164,Turayf,31.6725,38.6637,80.92,32,0,clear sky
165,Kaeo,-35.1,173.7833,50.32,86,78,broken clouds
166,Fortuna,40.5982,-124.1573,62.98,92,100,overcast clouds
167,Hwange,-18.3693,26.5019,64.87,36,0,clear sky
168,Christchurch,-43.5333,172.6333,44.91,77,55,broken clouds
169,San Rafael,-34.6177,-68.3301,48.13,48,0,clear sky
170,Choma,-16.8065,26.9531,62.51,37,0,clear sky
171,Mayo,38.8876,-76.5119,74.98,92,94,overcast clouds
172,Platteville,42.7342,-90.4785,69.89,100,0,clear sky
173,Ust-Maya,60.4167,134.5333,62.92,71,100,overcast clouds
174,Sao Filipe,14.8961,-24.4956,76.91,86,72,broken clouds
175,Goderich,43.7501,-81.7165,70.92,63,23,few clouds
176,Moron,-34.6534,-58.6198,53.35,79,0,clear sky
177,Dhangadhi,28.7079,80.5961,86.63,65,100,overcast clouds
178,Banda Aceh,5.5577,95.3222,85.5,64,95,overcast clouds
179,Quatre Cocos,-20.2078,57.7625,73.09,66,84,broken clouds
180,Geraldton,-28.7667,114.6,66.61,52,0,clear sky
181,Luderitz,-26.6481,15.1594,54.46,64,7,clear sky
182,Oneonta,42.4529,-75.0638,63.81,89,34,scattered clouds
183,Kuzedeyevo,53.3308,87.2019,82.74,43,39,scattered clouds
184,Rio Grande,-32.035,-52.0986,47.95,87,78,broken clouds
185,Los Llanos De Aridane,28.6585,-17.9182,66.13,92,0,clear sky
186,Tomatlan,19.9333,-105.25,75.11,94,100,overcast clouds
187,Sayansk,54.1088,102.1648,64.98,76,82,light rain
188,Margate,51.3813,1.3862,67.89,96,0,clear sky
189,Bose,45.4612,8.0137,70.21,75,88,overcast clouds
190,Cam Ranh,11.9214,109.1591,93.16,49,40,scattered clouds
191,Pochutla,15.7432,-96.4661,77.83,93,98,overcast clouds
192,Kananga,-5.8958,22.4178,75.22,25,63,broken clouds
193,Cairns,-16.9167,145.7667,79.07,62,100,overcast clouds
194,Paamiut,61.994,-49.6678,42.58,95,100,light rain
195,San Quintin,30.4833,-115.95,73.27,77,92,overcast clouds
196,Saint Anthony,45.0205,-93.218,69.93,72,0,clear sky
197,Padang,-0.9492,100.3543,87.85,68,81,broken clouds
198,Provideniya,64.3833,-173.3,59.25,73,5,clear sky
199,Mount Isa,-20.7333,139.5,82.17,14,59,broken clouds
200,Chokurdakh,70.6333,147.9167,66.07,53,100,overcast clouds
201,Tezu,27.9167,96.1667,93.81,56,53,broken clouds
202,Svetlyy,54.675,20.1347,60.85,62,65,broken clouds
203,Pevek,69.7008,170.3133,40.78,94,11,few clouds
204,Ondjiva,-17.0667,15.7333,56.34,27,0,clear sky
205,Georgetown,5.4112,100.3354,90.9,68,40,light rain
206,Savannah Bight,16.45,-85.85,82.09,81,92,overcast clouds
207,Constitucion,-35.3333,-72.4167,46.87,83,0,clear sky
208,Bengkulu,-3.8004,102.2655,84.06,69,43,scattered clouds
209,La Fria,8.2203,-72.2439,73.56,81,100,overcast clouds
210,Zeya,53.75,127.2667,65.44,80,100,light rain
211,Nador,35.174,-2.9287,80.85,83,75,broken clouds
212,Dickinson,29.4608,-95.0513,77.99,93,98,overcast clouds
213,Cape Town,-33.9258,18.4232,56.1,92,100,overcast clouds
214,North Charleston,32.8886,-80.0075,80.53,82,98,overcast clouds
215,Las Cruces,32.3123,-106.7783,83.35,44,40,scattered clouds
216,Bardiyah,31.7561,25.0865,80.08,59,0,clear sky
217,Dingle,10.9995,122.6711,86.94,69,58,broken clouds
218,Islamkot,24.6997,70.177,95.02,50,99,overcast clouds
219,Rorvik,64.8621,11.2373,57.18,88,75,broken clouds
220,Kavieng,-2.5744,150.7967,82.04,76,87,light rain
221,Inirida,3.8653,-67.9239,71.73,99,49,scattered clouds
222,Evensk,61.95,159.2333,53.94,96,100,light rain
223,Plettenberg Bay,-34.0527,23.3716,55.78,85,100,overcast clouds
224,Porto Novo,6.4965,2.6036,73.78,88,100,overcast clouds
225,Mbanza-Ngungu,-5.25,14.8667,65.26,80,6,clear sky
226,Vanavara,60.34,102.2797,68.49,62,89,light rain
227,Maur,30.0833,75.25,84.33,74,99,overcast clouds
228,Beringovskiy,63.05,179.3167,62.33,69,56,broken clouds
229,Fort Nelson,58.8053,-122.7002,64.62,61,84,broken clouds
230,Saint-Philippe,-21.3585,55.7679,73.22,85,80,light rain
231,Coihaique,-45.5752,-72.0662,41.61,81,0,clear sky
232,Longyearbyen,78.2186,15.6401,48.04,76,75,broken clouds
233,San Pedro,14.35,121.0167,88.36,65,100,light rain
234,Te Anau,-45.4167,167.7167,35.29,91,19,few clouds
235,Mani,4.8172,-72.2886,71.82,91,88,overcast clouds
236,Hamilton,39.1834,-84.5333,70.09,93,0,mist
237,Ancud,-41.8697,-73.8203,50.23,94,100,light rain
238,Lagoa,39.05,-27.9833,70.47,74,6,clear sky
239,Amapa,1.0,-52.0,69.94,99,50,scattered clouds
240,Grand Gaube,-20.0064,57.6608,73.38,56,71,broken clouds
241,Santos Dumont,-21.4567,-43.5525,51.12,63,94,overcast clouds
242,Yar-Sale,66.8333,70.8333,61.12,47,65,broken clouds
243,Lockport,41.5895,-88.0578,73.45,91,0,clear sky
244,Mahajanga,-15.7167,46.3167,74.68,47,1,clear sky
245,Salinas,36.6777,-121.6555,66.29,75,0,clear sky
246,North Platte,41.1239,-100.7654,79.12,50,0,clear sky
247,Arezzo,43.4724,11.869,74.34,76,61,broken clouds
248,Tabas,33.5959,56.9244,92.39,17,0,clear sky
249,Ariquemes,-9.9133,-63.0408,66.56,67,13,few clouds
250,Necochea,-38.5473,-58.7368,43.12,75,0,clear sky
251,Tiznit,29.5833,-9.5,68.4,56,0,clear sky
252,Asbury Park,40.2204,-74.0121,77.22,89,0,clear sky
253,Bethanien,-26.502,17.1583,55.45,19,0,clear sky
254,Chulman,56.8479,124.9104,52.86,96,100,light rain
255,Pimentel,-6.8367,-79.9342,61.45,86,90,overcast clouds
256,Kushmurun,52.4503,64.6311,77.72,51,0,clear sky
257,Nishihara,26.1842,127.7558,87.08,74,75,broken clouds
258,Antofagasta,-23.65,-70.4,56.48,87,12,few clouds
259,Brae,60.3964,-1.353,53.94,94,100,light rain
260,Singapore,1.2897,103.8501,91.35,56,75,broken clouds
261,Xucheng,20.35,110.1288,80.8,84,100,overcast clouds
